battery,camera,display,memory,product_name,price,processor,rating,reviews,warranty
4500 mAh Lithium-ion Polymer Battery,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,16.94 cm (6.67 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"POCO X2 (Phoenix Red, 128 GB)",18499,Qualcomm Snapdragon 730G Processor,4.5,"17,578 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
5000 mAh Li-ion Polymer Battery,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Infinix Hot 9 (Violet, 64 GB)",9499,MediaTek Helio P22 (64 bit) Processor,4.5,"2,263 Reviews","1 Year Warranty on Phone, 6 Months Warranty on Accessories"
5000 mAh Li-ion Polymer Battery,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Infinix Hot 9 (Ocean Wave, 64 GB)",9499,MediaTek Helio P22 (64 bit) Processor,4.5,"2,263 Reviews","1 Year Warranty on Phone, 6 Months Warranty on Accessories"
4300 mAh Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Realme 6i (Lunar White, 64 GB)",14999,MediaTek Helio G90T Processor,4.5,532 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4300 mAh Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Realme 6i Lite (Lunar White, 64 GB)",12999,MediaTek Helio G90T Processor,4.5,"1,953 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4300 mAh Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Realme 6i (Eclipse Black, 64 GB)",12999,MediaTek Helio G90T Processor,4.5,"1,953 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4300 mAh Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Realme 6i Pro (Eclipse Black, 64 GB)",14999,MediaTek Helio G90T Processor,4.5,532 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
5000 mAh Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Display,4 GB RAM | 128 GB ROM,"OPPO A9 2020 (Space Purple, 128 GB)",12990,Qualcomm SM6125 Processor,4.3,"4,140 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
5000 mAh Lithium Polymer Battery,64MP + 8MP + 5MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Motorola One Fusion+ (Moonlight White, 128 GB)",17499,Qualcomm Snapdragon 730G Processor,4.4,"2,584 Reviews",1 Year on Handset and 6 Months on Accessories
5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,"Realme Narzo 10A (So White, 32 GB)",8999,MediaTek Helio G70 (12 nm) Processor,4.5,"3,204 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Realme Narzo 10A (So Blue, 64 GB)",9999,MediaTek Helio G70 (12 nm) Processor,4.5,"2,170 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
